,tweet,class,clean_tweet,target
37,""" jus meet son now he ya mane ass bitches "" #Shots",1,jus meet son ya mane as bitch shot,Offensive
38,""" lames crying over hoes thats tears of a clown """,1,lame cry hoe thats tear clown,Offensive
39,""" like Snoop said in 94 we dont love these hoes """,1,like snoop said 94 dont love hoe,Offensive
40,""" momma said no pussy cats inside my doghouse """,2,momma said pussy cat inside doghouse,Neither
41,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,hated hoe favorite 2mw sevenone,Offensive
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick,Offensive
43,""" pimps up pimps up hoes down "" Future voice",1,pimp pimp hoe future voice,Offensive
44,""" post a picture of that pussy get 200 likes """,1,post picture pussy get 200 like,Offensive
45,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,pussy powerful drug 128517 happyhumpday,Offensive
46,""" quick piece of pussy call it a drive by """,1,quick piece pussy call drive,Offensive
47,""" running round here like some brand new pussy thats bout to get fucked """,1,running round like brand new pussy thats bout get fucked,Offensive
48,""" these bitches even worst they'll send them guys for you """,1,bitch even worst send guy,Offensive
49,""" these hoes like niggas that spend money not talk bout it """,1,hoe like nigga spend money talk bout,Offensive
50,""" we dont trust these niggas all these bitches """,1,dont trust nigga bitch,Offensive
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,yall nigga b cuffing hoe cause yall aint never bitch,Offensive
52,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",1,dodge bullet 128517 8220 da bitch cut pregnant bound thank god 128591 8221,Offensive
53,""" young Pill Chamberlain these bitches love my music """,1,young pill chamberlain bitch love music,Offensive
54,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 teanna trump probably cleaner twitter hoe,Offensive
55,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 gay nigga wait act like bitch tonight,Offensive
56,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1,128514 128514 128514 paradox ima steal cat n replace pitbull 128514 128514 128514 128514 paradox bitch,Offensive
57,"""&amp; he's gone always be a hoe""",1,gone always hoe,Offensive
58,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1,son bitch took tic tacs like movie,Offensive
59,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",1,wanna get money fuck model bitch russell simmons,Offensive
60,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",1,probably 8217 mind school much 8217 deal bitch as teacher retweet,Offensive
61,"""@A7XDemery: I'm a fucking fag they said""",1,fucking fag said,Offensive
62,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1,female think dating pussy cute stuff make pussy,Offensive
63,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",2,simplyaddictedtoguys woof woof hot scally lad,Neither
64,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1,ya ever asked bitch bitch kanye voice yes,Offensive
65,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",1,gone bring ur side bitch game know ya gf friend 128553 128553 128553 128553 swear,Offensive
66,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",2,woof woof hot sol,Neither
67,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",2,lemmie eat oreo dish one oreo lol,Neither
68,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1,bitch fuck maybe get better,Offensive
69,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1,fuck red malone man bitch as niggah could please use complete sentence,Offensive
70,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",2,eggplant emoji doe say looked like scream lmao,Neither
71,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1,hennessey venom 128584 one sexy bitch,Offensive
72,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",1,seh pussy wetter shower curtain ahmesehwetness lmao,Offensive
73,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",1,hen314 eaglesnation every eagle need see pic posted bitch said racist shit,Offensive
74,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1,yo fuck skateboarding wood pushing faggot man ball life,Offensive
75,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",2,baby monkey bathtime awwwwe soooo adorable,Neither
76,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",1,128514 128514 128514 128514 shit damn skippy lol,Offensive
77,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,ever kill ant sidewalk think damn nigga way get pussy b must b 30 chance,Offensive
78,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",1,kudabrazyy 0 ring 0 mvp 0 bitch lol,Offensive
79,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,ppl talk bad ghetto hood kid growing nigga funnnnnnn,Offensive
80,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,fact tattoo tattoo pussy tattooing nipple,Offensive
81,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",1,128175 128175 128175 ayden bitch wanting act like nigga bad 128553 128553 128553 shit aint cuteeeee nigga act like bitch,Offensive
82,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",1,get worshiping bitch woof woof,Offensive
83,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",1,wow lost buttcheek piercings yeah hoe,Offensive
84,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1,ok si rather broke bitch shrug tell work,Offensive
85,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0,queer gaywad,Hate
86,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1,faggot read tweet dat k even funny lol,Offensive
87,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1,bitch ungrateful fr lulwhore,Offensive
88,"""@CASHandBOOBIES: I been kidnapped yo bitch""",1,kidnapped yo bitch,Offensive
89,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0,baby24 thunduh alsarabsss he beaner smh tell he mexican,Hate
90,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1,happy birthday nigs thanks yo,Offensive
91,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1,ur teacher tell homework bitch need go,Offensive
92,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1,nigga eating hoe lol hell yea lol john paul nigga said john paul,Offensive
93,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",1,would lil ugly bald headed bitch stop making make weave,Offensive
94,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",1,leaf better win damn game go riot shit earlychristmas better stalooting nig,Offensive
95,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",1,going back school suck dick hoe attend,Offensive
96,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1,way fuck yo bitch 9 year old,Offensive
97,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",1,thunduh come never bring food dont car retard,Offensive
98,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1,richnow show hella tinder hoe im friend anymore chill brought like like 8 prople,Offensive
99,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1,bout cowboy shutup pussy,Offensive
100,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",1,lmaooooooooooo nigga nuh care bitch want like depressing shit foh,Offensive
101,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",1,cee aerii girl know spitting g shit going lbvs bitch please,Offensive
102,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",1,cee let make couple tweet cuzzo page get twitter jail lmao bitch trick,Offensive
103,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",1,harlem shake excuse go full retard 30 second,Offensive
104,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1,amen miley 128591 need act like hoe bc emotionally damaged foh,Offensive
105,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",1,one loyal female wayyyyy better hoe idc 128175,Offensive
106,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",1,pussy licking pussy meow meow stopwhitepeople2014 128049 128533,Offensive
107,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",1,holloway check 12th man cowboysnation even faggot ny fan stand,Offensive
108,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1,happen vixen ent bitch got ran threw side like foothill bitch,Offensive
109,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1,thunduh im bitch okay nude pat 128554 128527 128056 wow,Offensive
110,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0,fucking gay blacklisted hoe holding tehgodclan anyway,Hate
111,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",1,fuck wrong bitch nobody know,Offensive
112,"""@Dietrich1892: Yall shut up:p"" make me bitch",1,yall shut p make bitch,Offensive
113,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",1,hate pregnant type bitch,Offensive
114,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",1,q got bitch dm ever read em top 3,Offensive
115,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",2,baseball season win yankee love started,Neither
116,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",1,little stupid bitch fuck yoooooouuuu,Offensive
117,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",1,really asked dead as serious tho could say bitch wheet lol,Offensive
118,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",2,early bird night owl wise worm,Neither
119,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",2,overdosing heavy drug sound bad tonight pussy shit every day,Neither
120,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",2,grillo1 pit bull photographed lovely fairy tale creature fairy tale creature,Neither
121,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",1,ghost bravo aw fag tweet aw lol,Offensive
122,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",2,long lakers trash could careless real cc hahaha,Neither
123,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",1,say anything tho kiss faggot,Offensive
124,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",2,play soccer cheat girl wear khaki coloured cargo haircut 128514 yup,Neither
125,"""@G27Status: I could go for a fat ass bitch on my lap"" same",1,could go fat as bitch lap,Offensive
126,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1,17 missed call 128544 128545 da yo p bitch twitter finna screamn freemoneymelle,Offensive
127,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1,al ya side bitch gotta know rule shit anybody ask cousin jersey thinkin bout moving lmmfao 128514 128514 128514 128514,Offensive
128,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",1,8220 3 amo los pie fuck yeah,Offensive
129,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",1,hoe thinking meat slap as 128564 128075 ainna bruh,Offensive
130,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1,yall bitch wit edge talking 128553 128564 9995 128514 128514 128514,Offensive
131,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit,Offensive
132,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",1,wanna sex mom fuck right pussy came damn got hacked like fuck,Offensive
133,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",1,jones94 kiss eye open watch bitch lmfao,Offensive
134,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",1,woulda coulda shoulda as hoe 128563 128586,Offensive
135,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",1,ltf happy bday bitch as nigga preciate bitch roll,Offensive
136,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",1,used send bitch,Offensive
137,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1,ugly bitch like wcw duh bitch nobody el 128514 128514,Offensive
138,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1,bravo nigga know hacky sack hoe nah throw look pass lmao,Offensive
139,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1,glad getting outta atlanta nothing bunch nigga outta jail dumb bitch mad kid fuckin em,Offensive
140,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",2,ghetto smai idc,Neither
141,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",1,would wife hoe cuz care cheating force relationship first place,Offensive
142,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",1,single excuse hoe luu,Offensive
143,"""@HoskinsTy96: White boy power bitch"" black power bitch",1,white boy power bitch black power bitch,Offensive
144,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",1,11 let get drunk get blowed spit shit spark blunts fuck hoe bro white dude chill,Offensive
145,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",1,abrupt bitch around world back,Offensive
146,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",1,get dick sucked yo party bad bitch fr gone set 128514 128514 128514 128514,Offensive
147,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",1,oomf soooo cute probably hoe lot,Offensive
148,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",1,every cartoon alway nuffsaid15 saving hoe lmao lmao damn captain saveahoe,Offensive
149,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",2,want get nose bad bois scally chav sockfetish stinking hot sox leg,Neither
150,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",1,wish bitch like brother keezy 128530 ooooow bet,Offensive
151,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1,dressed cat halloween basic pussy,Offensive
152,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1,pornhub get gaming stream feature dumb bitch gtfo get katie 3,Offensive
153,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",1,stop scared choke sex bitch as nigga 8217 like say guy hit woman bed foh,Offensive
154,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1,thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,Offensive
155,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1,oh man 5 molly ho fuck ya seed fixed,Offensive
156,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",1,man refer every girl bitch,Offensive
157,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",1,lmfao cat started beating shit nigga finally got pussy nigga,Offensive
158,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",2,peel peel bring back rewind back move shaq line ooooow tf said trash,Neither
159,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,Offensive
160,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",1,naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne,Offensive
161,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",1,ol dirty foot as bitch funny,Offensive
162,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",1,shawn 6 thunduh get yellow flag amazing 128079 128524 hell yeah niggy,Offensive
163,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",1,got time bitch actin iffy,Offensive
164,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",2,ucfpinkparty come stay alive knight nation still early bird special comeatmeut,Neither
165,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",1,hoe loyal smfh wonder nobody decent want,Offensive
166,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",1,bruh stud keep thinking soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe,Offensive
167,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",1,dry pussy bitch always blame condom 128514 128079 128514 128079 128514,Offensive
168,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",1,shut yo bitch as 128557 128514,Offensive
169,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1,gucci mane jail dropping mixtapes every month hoe even text back,Offensive
170,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",1,love hoe money wats wrong nigga,Offensive
171,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",1,loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol,Offensive
172,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",1,easy cum easy hoe fact,Offensive
173,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",1,charlie sheen real major fucking respect charlie sheen,Offensive
174,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",1,wish bae 128533 got hoe tho,Offensive
175,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",1,mike 12 fuck twerking bitch cook,Offensive
176,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",1,bitch wtf,Offensive
177,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",1,great 8220 great shut zoe fight pussy 8221 zoe good man good move along,Offensive
178,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",1,lmao fucking snake bitch em,Offensive
179,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",1,aizah big booty hoe everywhere sheesh 128525 damn 127807 128064 127807,Offensive
180,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",2,stay tuned update repothat 1b 8 10 week bum,Neither
181,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",2,rad 8220 play soccer cheat girl wear khaki coloured cargo haircut yes lmfao 04,Neither
182,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",1,oregon choke every year get field trash as program rft,Offensive
183,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",1,def cowboy lol terrell owen best eagle cowboy ever dude cried like bitch tv romo,Offensive
184,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0,lmfaoooo hate black people black people nigger,Hate
185,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",1,could bitch potent,Offensive
